name,old_price,new_price
Coles Sausages 550g,6.6,4.5
Coles Classic Burgers 400g-500g,2.0,15.0
Yumi's Dip 200g,2.0,7.0
Coles Thawed Cooked Vannamei Prawns,20.0,18.0
OB Finest Crackers 150g,7.5,6.5
Hans Twiggy Sticks,35.6,22.0
Obela Garnished Dip 220g or Red Rock Deli Dip 135g,2.0,8.0
"Coles Kitchen Coleslaw, Potato or Pasta Salad 800g",7.0,6.0
Coles Finest Sausages 450g-500g,9.0,8.0
Coles Beef Eye Fillet Steak 450g,23.5,20.0
Coles Australian No Added Hormones Beef Rump Steak 500g,15.0,11.0
Coles Australian Lamb Boneless Shoulder Roast,17.0,15.0
Coles Australian Pork Sirloin Steak 500g,11.5,9.5
Coles Free Range RSPCA Approved Chicken Mango & Coconut,15.0,14.0
Coles Made Easy Chicken Breast Filled with Garlic Herb Butter Topped with Cheese Crumb 500g,13.0,12.0
Coles RSPCA Approved Whole Chicken Boneless Herb & Garlic 1kg,13.0,12.0
Coles RSPCA Approved Breast Fillets Large Pack,11.0,10.0
Coles RSPCA Approved Chicken Drumsticks Large Pack,4.5,4.0
Coles Australian Pork BBQ Ribs,20.0,17.0
Coles Australian Lamb Loin Chops,22.0,18.0
Coles RSPCA Approved Chicken Wing Nibbles,9.0,8.0
Coles RSPCA Approved Chicken Kebab Honey & Soy 375g,1.0,15.0
Coles Finest Burgers 300g,8.0,7.0
Coles Beef or Lamb Kebabs 450g,1.0,16.0
Coles Brand Pre-Packed Antipasto 110g-135g,1.5,9.0
Don Virginian Ham,28.0,22.0
Hans Milano Loin Ham,32.0,28.9
Primo Middle Bacon,17.0,14.5
Coles Australian Thawed MSC Raw King Prawns,22.0,18.0
Coles Tasmanian Fresh Salmon Portions Skin On,42.0,36.0
"Little Entertainers Mersey Valley, Tasmanian Heritage or South Cape Cheese 80g",2.4,12.0
Coles Gourmet Selection Cheese 150g-265g,2.01,13.0
Black Swan Crafted or Chunky Dip 150g-170g,1.7,7.5
Coles Kitchen Meals 350g,1.0,14.0
